City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
248,Polunochnoye,RU,60.8697,60.4153,38.98,90,100,3.96,overcast clouds
249,Suez,EG,29.9737,32.5263,76.42,33,0,13.44,clear sky
250,Bulungu,CD,-4.55,18.6,77.56,82,95,1.97,overcast clouds
251,Kahului,US,20.8947,-156.47,71.01,100,1,3.44,clear sky
252,Kiunga,PG,-6.1219,141.2906,72.55,99,100,0.18,heavy intensity rain
253,Castro Verde,PT,37.6983,-8.0858,62.6,67,40,12.66,scattered clouds
254,Kaohsiung,TW,22.6163,120.3133,77.0,78,75,2.3,broken clouds
255,Krasnoselkup,RU,65.7,82.4667,31.89,94,100,8.43,overcast clouds
256,Safaga,EG,26.7292,33.9365,79.36,42,0,5.44,clear sky
257,Sheridan,US,44.8333,-106.9173,55.99,44,1,14.97,clear sky
258,Auki,SB,-8.7676,160.7034,75.76,87,75,4.85,broken clouds
259,Mbanza-Ngungu,CD,-5.25,14.8667,72.72,90,100,4.23,overcast clouds
260,La Libertad,EC,-2.2333,-80.9,78.8,78,75,8.05,broken clouds
261,America Dourada,BR,-11.4553,-41.4361,87.46,34,19,8.5,few clouds
262,Poum,NC,-20.2333,164.0167,73.29,59,12,8.52,few clouds
263,Kerema,PG,-7.9631,145.7785,75.61,93,100,6.15,overcast clouds
264,Kasempa,ZM,-13.4584,25.8338,72.14,63,82,4.27,broken clouds
265,Calama,CL,-22.4667,-68.9333,68.0,10,0,11.5,clear sky
266,Benicarlo,ES,40.4165,0.4271,55.0,95,68,5.37,moderate rain
267,Mercedes,AR,-34.6515,-59.4307,75.0,60,1,1.99,clear sky
268,Lasa,IT,46.6166,10.7002,68.0,50,40,10.36,scattered clouds
269,Klyuchi,RU,52.2667,79.1667,51.12,74,16,9.35,few clouds
270,Warkworth,NZ,-36.4,174.6667,54.0,77,99,5.01,overcast clouds
271,Rio Grande,BR,-32.035,-52.0986,71.6,56,40,9.22,scattered clouds
272,Maniitsoq,GL,65.4167,-52.9,36.7,63,100,8.08,overcast clouds
273,Lobez,PL,53.6392,15.6213,55.0,36,74,6.93,broken clouds
274,Verkhnevilyuysk,RU,63.4453,120.3167,11.37,97,32,2.44,scattered clouds
275,Airai,TL,-8.9266,125.4092,57.69,84,51,1.01,broken clouds
276,Norman Wells,CA,65.282,-126.8329,26.6,59,40,9.22,scattered clouds
277,Amahai,ID,-3.3333,128.9167,82.99,86,99,1.74,overcast clouds
